Unnamed: 0,tarih,ürün_kodu,ürün_adi,kategori,fiyat,adet,toplam_satis,musteri_id,isim,cinsiyet,yas,sehir,harcama_miktari
0,2023-07-02,P032,Mouse,Elektronik,1207.3,13,15694.9,9225,Masume,Kadın,35,İstanbul,3588.15
1,2024-02-11,P011,Kalem,Kırtasiye,237.14,16,3794.24,3955,Fenni,Kadın,64,Konya,3742.46
2,2023-03-06,P024,Bilgisayar,Elektronik,1024.29,9,9218.61,2367,Feyruz,Kadın,45,Bursa,197.55
3,2024-04-11,P063,Klima,Elektronik,1477.88,9,13300.920000000002,2869,Ülke,Kadın,43,İstanbul,3662.18
4,2024-01-08,P063,Klima,Elektronik,949.43,19,18039.17,9724,Tonguç,Erkek,41,Bursa,2536.2
5,2023-06-20,P037,Fırın,Ev Aletleri,266.4,10,2664.0,7948,Mazlum,Kadın,38,Konya,4031.3
6,2023-08-22,P082,Defter,Kırtasiye,1290.3,8,10322.4,4184,Güverçin,Kadın,67,Adana,3812.79
7,2024-05-11,P063,Klima,Elektronik,627.78,17,10672.26,1522,Baba,Erkek,52,Antalya,4795.75
8,2024-07-26,P010,Çanta,Giyim,749.39,8,5995.12,5504,Toktuğ,Erkek,61,Adana,3249.57
9,2023-03-15,P082,Defter,Kırtasiye,193.65,16,3098.4,1722,Hanbiken,Erkek,67,Ankara,4897.38
10,2023-04-26,P037,Fırın,Ev Aletleri,362.96,15,5444.4,2678,Akatay,Kadın,35,Bursa,2964.43
11,2024-05-19,P011,Kalem,Kırtasiye,577.19,16,9235.04,9408,Gilman,Kadın,67,İzmir,2608.97
12,2024-03-20,P024,Bilgisayar,Elektronik,1302.35,7,9116.449999999999,2863,Taşkan,Erkek,55,Antalya,759.2
13,2023-09-01,P063,Klima,Elektronik,270.14,13,3511.8199999999997,6923,Goncafer,Erkek,64,İzmir,316.98
14,2023-03-11,P010,Çanta,Giyim,990.12,10,9901.2,4678,Alışık,Kadın,60,Ankara,2644.5
15,2024-06-08,P082,Defter,Kırtasiye,1221.37,6,7328.219999999999,4666,Gökçe,Kadın,35,Gaziantep,1259.77
16,2023-12-27,P097,Su Şişesi,Mutfak Ürünleri,976.99,19,18562.81,4778,Yosma,Erkek,22,Antalya,3485.45
17,2023-10-25,P011,Kalem,Kırtasiye,1245.33,18,22415.94,2043,Hurşide,Kadın,48,Bursa,4410.52
18,2024-05-01,P082,Defter,Kırtasiye,682.11,9,6138.99,6732,Gülüs,Kadın,53,İstanbul,1787.68
19,2024-09-21,P082,Defter,Kırtasiye,1117.5,1,1117.5,7103,Üsame,Kadın,58,Gaziantep,509.31
20,2023-02-03,P097,Su Şişesi,Mutfak Ürünleri,455.04,4,1820.16,1361,Emal,Kadın,66,İzmir,4547.11
21,2023-10-27,P010,Çanta,Giyim,1207.15,10,12071.5,8626,Feyzin,Kadın,30,İstanbul,4078.5
